id,genre,track_name,artist_name,valence,energy
7DneDMOlQ1ol2bd2tWukd2,acoustic,Mercy - Radio 1 Live Lounge Session (Duffy cover),OneRepublic,0.815,0.53
0eG5CqXwJpa5MBjYyg1lRm,acoustic,Slide,The Goo Goo Dolls,0.471,0.845
3zx0r0wtqxj6tlFL5PEWlq,acoustic,Unwritten (feat. Diamond White),Boyce Avenue,0.284,0.336
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295
5Ukzlujip1Slqka5OY82YS,acoustic,U.N.I.,Ed Sheeran,0.578,0.405
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294
7EOzfH8P0K4pKZpXE8JMmT,acoustic,Beautiful,Carly Rae Jepsen,0.423,0.496
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.638,0.895
1CmUZGtH29Kx36C1Hleqlz,afrobeat,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.662,0.526
7Hv89f7Dpm5Hce1XkBbjQZ,afrobeat,On The Floor - Radio Edit,Jennifer Lopez,0.462,0.68
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.735,0.701
1zHlj4dQ8ZAtrayhuDDmkY,afrobeat,Timber (feat. Ke$ha),Pitbull,0.825,0.965
4Q33HiVThLk7DDDAfyu8S2,afrobeat,Onyame eyhira(produced By Kaywa) (feat. Castro),Sarkodie,0.511,0.856
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
5YjLDu0oNJV4rxrI2E7vo7,afrobeat,Fimani,Habib Koité,0.849,0.469
0kDTXJ6dFJAT0l1f2NZN8A,afrobeat,Diaraby,Alessio Vlad,0.323,0.23
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
3ZwrK4djNjJCNOZknEFtmc,alt-rock,Say Fuck It,Buckcherry,0.595,0.836
3aL353hFdpA6eOcDUL5sOH,alt-rock,Blue Moon,Beck,0.497,0.653
7kF1iPJTj3VFJX9XokQ80F,alt-rock,Slither,Velvet Revolver,0.268,0.974
6rARMNQLjwdlBMb9BGrrAZ,alt-rock,Subconscious Life,Self,0.804,0.728
3OshgPVuRWWArOBU6NPBFr,alt-rock,Cleopatra,Sloan,0.939,0.829
06QooyUa24W60Y4w8SgDwD,alt-rock,Turn up the Radio,OK Go,0.66,0.802
1HBZrDjYFOuBcFR0GuxuRV,alt-rock,It's Time To Come Home,The Rentals,0.136,0.662
